id,reference,type_message,direction,sender_bic,receiver_bic,sender_name,receiver_name,amount,currency,status,category,translation_errors,created_at,anomaly_score,anomaly_niveau,anomaly_raisons,is_anomaly
1890,SW260506135400098,MT103,OUT,BTLMTNTT,BTLMTNTT,"SOCIETE CHIMIQUE MAGHREB INDUSTRIES","SOCIETE CHIMIQUE MAGHREB INDUSTRIES",61102.71,EUR,pending,1,,"2026-04-28 10:25:50",1,LOW,[],0
1891,SW260506135400099,MT103,OUT,BTLMTNTT,BTLMTNTT,"CARTHAGE CEMENT SA","CARTHAGE CEMENT SA",34770.32,EUR,pending,1,,"2026-04-28 10:02:50",1,LOW,[],0
1892,SW260506135400100,MT103,OUT,BTLMTNTT,BTLMTNTT,"BTL INTERNATIONAL TRADE FINANCE","BTL INTERNATIONAL TRADE FINANCE",90798.95,EUR,pending,1,,"2026-04-18 10:23:50",1,LOW,[],0
1893,SW260506135400101,MT103,OUT,BTLMTNTT,OFFSHKYY,"BTL TUNISIAN LIBYAN BANK","CAYMAN OFFSHORE LTD",4750000,RUB,rejected,1,,"2026-05-04 01:09:50",75,HIGH,"[""MONTANT_ELEVE"",""STATUT_REJETE"",""DEVISE_INHABITUELLE"",""ML_SCORE"",""ML_CLASSIFIER""]",1
1894,SW260506135400102,MT103,IN,LAFBLYLTXXX,BTLMTNTT,"NATIONAL OIL CORPORATION","BTL TUNISIAN LIBYAN BANK",0,EUR,rejected,1,,"2026-05-05 14:23:50",70,HIGH,"[""MONTANT_ZERO"",""STATUT_REJETE"",""ML_SCORE"",""ML_CLASSIFIER""]",1
1895,SW260506135400103,MT202,OUT,BIATTNTT,SHELBHBB,"BIAT BANQUE INTERNATIONALE ARABE DE TUNISIE","BELIZE SHELL BANK",890000,AED,rejected,2,,"2026-05-03 23:35:50",75,HIGH,"[""MONTANT_ELEVE"",""STATUT_REJETE"",""DEVISE_INHABITUELLE"",""ML_SCORE"",""ML_CLASSIFIER""]",1
1896,SW260506135400104,MT103,IN,LAFBLYLTXXX,BTLMTNTT,"LIBYAN IRON AND STEEL COMPANY","BTL CORRESPONDANT ACCOUNT",325000,USD,processed,1,,"2026-05-01 10:00:50",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1897,SW260506135400105,MT103,OUT,BTLMTNTT,BTLMTNTT,"TUNISAIR SA","TUNISAIR SA",55000,CNY,rejected,1,,"2026-05-02 03:57:51",50,MEDIUM,"[""STATUT_REJETE"",""DEVISE_INHABITUELLE"",""ML_SCORE"",""ML_CLASSIFIER""]",1
1898,SW260506135400106,MT940,IN,MHCBJPJT,BTLMTNTT,"MIZUHO BANK TOKYO","BTL TUNISIAN LIBYAN BANK",12000000,JPY,rejected,9,,"2026-04-29 08:27:51",74,HIGH,"[""MONTANT_ELEVE"",""STATUT_REJETE"",""DEVISE_INHABITUELLE"",""ML_SCORE"",""ML_CLASSIFIER""]",1
1899,SW260506135400107,MT103,OUT,STBKTNTT,PRVBKXXL,"STB SOCIETE TUNISIENNE DE BANQUE","PRIVATE BANK XL",2100000,RUB,rejected,1,,"2026-04-30 02:44:51",74,HIGH,"[""MONTANT_ELEVE"",""STATUT_REJETE"",""DEVISE_INHABITUELLE"",""ML_SCORE"",""ML_CLASSIFIER""]",1
1900,SW260506135400108,MT103,IN,BTLMTNTT,BNPAFRPP,"ENNAKL AUTOMOBILES SA","BNP PARIBAS",0,EUR,pending,1,,"2026-05-05 11:56:51",40,MEDIUM,"[""MONTANT_ZERO"",""ML_CLASSIFIER""]",1
1901,SW260506135400109,MT202,OUT,UBCITNTT,OFFSHKYY,"UIB UNION INTERNATIONALE DE BANQUES","CAYMAN OFFSHORE LTD",600000,RUB,rejected,2,,"2026-04-26 00:35:51",74,HIGH,"[""MONTANT_ELEVE"",""STATUT_REJETE"",""DEVISE_INHABITUELLE"",""ML_SCORE"",""ML_CLASSIFIER""]",1
1902,SW260506135400110,MT103,IN,LAFBLYLTXXX,BTLMTNTT,"GENERAL ELECTRICITY COMPANY OF LIBYA","BTL TREASURY DEPT",5800000,USD,rejected,1,,"2026-04-28 15:40:51",55,MEDIUM,"[""MONTANT_ELEVE"",""STATUT_REJETE"",""ML_SCORE"",""ML_CLASSIFIER""]",1
